No.,Treatment,Plot,StandCount1,StandCount2,PH (cm),PH (cm),PH (cm),PH (cm),AvgPH,RFW (g),Avg_RFW,SFW (g),Avg_SFW,Biomass,Nemeggs,Square box,,Eggsgmroot
1,Untreated: water,101,103,98,21.3,18.7,27,20.5,21.875,1.63,0.4075,20.06,5.015,5.4225,180,6,13905,34122.69939
1,Untreated: water,209,80,104,32,27.5,29,29,29.375,3.61,0.9025,42.32,10.58,11.4825,85,6,6566.25,7275.623269
1,Untreated: water,304,93,92,33,27,29,30.5,29.875,3.77,0.9425,46.8,11.7,12.6425,98,6,7570.5,8032.360743
1,Untreated: water,408,90,101,22.5,26.5,32,30.5,27.875,3.31,0.8275,36.32,9.08,9.9075,102,6,7879.5,9522.054381
1,Untreated: water,503,96,94,26.5,23.5,23.5,28,25.375,2.92,0.73,36.26,9.065,9.795,120,6,9270,12698.63014
1,Untreated: water,101,100,107,22,22,23,25,23,2.37,0.5925,20.98,5.245,5.8375,95,6,7338.75,12386.07595
1,Untreated: water,209,56,81,25,20,24,21.5,22.625,2.69,0.6725,20.13,5.0325,5.705,98,6,7570.5,11257.24907
1,Untreated: water,304,82,84,27,27.5,26,23,25.875,3.19,0.7975,33.65,8.4125,9.21,150,6,11587.5,14529.78056
1,Untreated: water,408,83,90,24.5,32.5,24,30,27.75,3.71,0.9275,35.86,8.965,9.8925,189,6,14600.25,15741.50943
1,Untreated: water,503,84,79,24,21.5,27.5,22.5,23.875,3.34,0.835,30.67,7.6675,8.5025,174,6,13441.5,16097.60479
2,Treated: Fluopyram,102,97,101,26.5,30,24.1,21.2,25.45,2.79,0.6975,29.88,7.47,8.1675,36,6,2781,3987.096774
2,Treated: Fluopyram,201,97,85,27.5,29,24.5,19,25,3.81,0.9525,29.13,7.2825,8.235,55,6,4248.75,4460.629921
2,Treated: Fluopyram,307,101,89,29,33.5,29.5,30.9,30.725,2.41,0.6025,32.1,8.025,8.6275,45,36,576,956.0165975
2,Treated: Fluopyram,404,98,104,26,28,22.5,24,25.125,2.86,0.715,28.82,7.205,7.92,36,36,460.8,644.4755245
2,Treated: Fluopyram,509,79,83,18.1,29.5,27,24.5,24.775,2.72,0.68,22.38,5.595,6.275,28,36,358.4,527.0588235
2,Treated: Fluopyram,102,67,90,26,22,21.5,19,22.125,2.43,0.6075,22.25,5.5625,6.17,35,36,448,737.4485597
2,Treated: Fluopyram,201,94,80,23,20,26.5,30,24.875,4.09,1.0225,31.71,7.9275,8.95,48,6,3708,3626.405868
2,Treated: Fluopyram,307,73,95,23.5,26.5,24,27,25.25,2.91,0.7275,29.75,7.4375,8.165,32,36,409.6,563.024055
2,Treated: Fluopyram,404,63,95,23,23.5,27,27,25.125,3.52,0.88,33.09,8.2725,9.1525,55,36,704,800
2,Treated: Fluopyram,509,87,86,24,21,18,23.5,21.625,3.77,0.9425,24.1,6.025,6.9675,26,36,332.8,353.1034483
3,Treated: Majestene,103,100,99,20.9,28.9,25.5,22.5,24.45,1.63,0.4075,24.19,6.0475,6.455,168,6,12978,31847.85276
3,Treated: Majestene,207,117,105,30.5,34,29,27,30.125,3.18,0.795,38.47,9.6175,10.4125,63,6,4866.75,6121.698113
3,Treated: Majestene,301,99,98,25.5,24.5,26.5,31.5,27,4.12,1.03,33.96,8.49,9.52,50,6,3862.5,3750
3,Treated: Majestene,409,67,109,26,22.5,28,22,24.625,3.11,0.7775,24.52,6.13,6.9075,54,36,691.2,889.0032154
3,Treated: Majestene,505,98,100,27,29,26,26,27,2.92,0.73,32.33,8.0825,8.8125,45,36,576,789.0410959
3,Treated: Majestene,103,94,89,23.5,23.5,23,23,23.25,3.41,0.8525,26.32,6.58,7.4325,25,36,320,375.3665689
3,Treated: Majestene,207,87,95,22,19,27,24,23,3.19,0.7975,30.51,7.6275,8.425,30,36,384,481.5047022
3,Treated: Majestene,301,91,91,19,26,28,22.5,23.875,3,0.75,30.09,7.5225,8.2725,56,36,716.8,955.7333333
3,Treated: Majestene,409,75,97,25.5,18,25.5,21,22.5,2.51,0.6275,24.86,6.215,6.8425,117,36,1497.6,2386.613546
3,Treated: Majestene,505,83,87,24,23.5,23,27,24.375,3.22,0.805,22.72,5.68,6.485,32,36,409.6,508.8198758
4,DT-3 Chryseobacterium elymi,104,101,100,16,26.5,26.1,14.7,20.825,2.07,0.5175,20.68,5.17,5.6875,159,6,12282.75,23734.78261
4,DT-3 Chryseobacterium elymi,202,107,82,26,19,24,20.5,22.375,2.69,0.6725,31.34,7.835,8.5075,208,6,16068,23892.9368
4,DT-3 Chryseobacterium elymi,306,84,76,29,33.5,29.5,27,29.75,2.84,0.71,36.53,9.1325,9.8425,86,36,1100.8,1550.422535
4,DT-3 Chryseobacterium elymi,401,94,100,35.5,31.5,27,31.5,31.375,4.55,1.1375,49.17,12.2925,13.43,112,36,1433.6,1260.307692
4,DT-3 Chryseobacterium elymi,508,84,84,31,27.7,28.7,24.5,27.975,3.18,0.795,41.05,10.2625,11.0575,69,36,883.2,1110.943396
4,DT-3 Chryseobacterium elymi,104,67,87,24,25,22.5,24.5,24,2.96,0.74,26.24,6.56,7.3,80,36,1024,1383.783784
4,DT-3 Chryseobacterium elymi,202,69,69,24.5,28,20.5,26.5,24.875,3,0.75,25.54,6.385,7.135,178,6,13750.5,18334
4,DT-3 Chryseobacterium elymi,306,102,85,24.5,16.5,26,20.5,21.875,2.45,0.6125,21.18,5.295,5.9075,68,36,870.4,1421.061224
4,DT-3 Chryseobacterium elymi,401,97,73,18,25,20,22,21.25,2.11,0.5275,19.01,4.7525,5.28,80,36,1024,1941.232227
4,DT-3 Chryseobacterium elymi,508,80,82,21.5,16,21,24.5,20.75,2.3,0.575,18.9,4.725,5.3,80,36,1024,1780.869565
5,DT-14 Pseudomonas piscium,105,101,102,28.5,26,27.8,29.5,27.95,3.53,0.8825,43.21,10.8025,11.685,81,36,1036.8,1174.844193
5,DT-14 Pseudomonas piscium,203,107,102,20.5,24,20.5,17,20.5,1.9,0.475,20.84,5.21,5.685,171,6,13209.75,27810
5,DT-14 Pseudomonas piscium,308,90,89,25,32,26.7,29.5,28.3,3.22,0.805,35.92,8.98,9.785,81,36,1036.8,1287.950311
5,DT-14 Pseudomonas piscium,406,110,93,26,29,29,26.5,27.625,2.92,0.73,30.08,7.52,8.25,76,36,972.8,1332.60274
5,DT-14 Pseudomonas piscium,501,96,92,21,32.5,18,25.5,24.25,3.74,0.935,33.28,8.32,9.255,80,6,6180,6609.625668
5,DT-14 Pseudomonas piscium,105,79,88,22,24,22,24.5,23.125,3.05,0.7625,28.58,7.145,7.9075,46,36,588.8,772.1967213
5,DT-14 Pseudomonas piscium,203,86,80,19.5,23,21,26.5,22.5,3.02,0.755,23.24,5.81,6.565,55,36,704,932.4503311
5,DT-14 Pseudomonas piscium,308,93,96,23,25.5,23.5,21.5,23.375,2.62,0.655,24.17,6.0425,6.6975,88,36,1126.4,1719.694656
